section,field,value
daily_conversations,2026-06-08,4
daily_conversations,2026-06-09,6
daily_conversations,2026-06-10,10
daily_conversations,2026-06-11,5
daily_conversations,2026-06-12,3
daily_conversations,2026-06-13,5
daily_conversations,2026-06-14,5
daily_conversations,2026-06-15,4
daily_conversations,2026-06-16,1
hourly_conversations,00:00,142
hourly_conversations,01:00,106
hourly_conversations,02:00,66
hourly_conversations,03:00,64
hourly_conversations,04:00,143
hourly_conversations,05:00,231
hourly_conversations,06:00,372
hourly_conversations,07:00,405
hourly_conversations,08:00,588
hourly_conversations,09:00,639
hourly_conversations,10:00,636
hourly_conversations,11:00,604
hourly_conversations,12:00,568
hourly_conversations,13:00,904
hourly_conversations,14:00,736
hourly_conversations,15:00,549
hourly_conversations,16:00,625
hourly_conversations,17:00,639
hourly_conversations,18:00,489
hourly_conversations,19:00,443
hourly_conversations,20:00,396
hourly_conversations,21:00,308
hourly_conversations,22:00,172
hourly_conversations,23:00,119
sentiment_arc,message_1,3.0
sentiment_arc,message_2,3.0
sentiment_arc,message_3,3.4
sentiment_arc,message_4,3.3
sentiment_arc,message_5,3.2
sentiment_arc,message_6,3.1
sentiment_arc,message_7,3.1
sentiment_arc,message_8,3.1
sentiment_arc,message_9,3.0
sentiment_arc,message_10,3.0
office_hours,kantooruren,2970
office_hours,na_kantooruren,2011
office_hours,nacht,1179
office_hours,weekend,3784
unanswered_question,1,Wat zegt een duif
unanswered_question,2,Kan ik mijn munten terugsturen en geld terug krijgen
unanswered_question,3,Wat mag ik meenemen? 🎒
unanswered_question,4,Qui sont les artistes programmés ? 🎤
unanswered_question,5,Hoe laat is het afgelopen
unanswered_question,6,Is gewoon adverteren voor niks
unanswered_question,7,Kan het niet vinden
unanswered_question,8,Hoeveel kaarten zijn er?
unanswered_question,9,wat een kut systeem!
unanswered_question,10,You mean 28 mei?
unanswered_question,11,Wat kost een larkeericket
unanswered_question,12,No hay posibilidad de entradas vip??
unanswered_question,13,Ou ce situe le site ?
unanswered_question,14,Wer ist dabei? 🎤
unanswered_question,15,Hoe word ik ambassadeur
unanswered_question,16,Volgend jaar doen? 🤭🕺
unanswered_question,17,Why can I not order?
unanswered_question,18,Is er nog restock van merch?
unanswered_question,19,"Wat een tijdverspilling.
Voorboiet snot naar een wachtrij kijken.
Mij nooit meer mailen met deze onzin"
unanswered_question,20,Kam gevonden?
unanswered_question,21,stond headhunterz op de line up?
unanswered_question,22,Hoe kan het zo zijn dat er eerst 10 minuten wachttijd stond en nu opeens 1uur?
unanswered_question,23,Moet ik halen?
unanswered_question,24,in email of whatsapp?
unanswered_question,25,Wat is dit voor onzin ? 1 minuut wachtrij en daarna meer dan een uur ????
unanswered_question,26,Toch wel?
unanswered_question,27,Und wie viele Tage ?
unanswered_question,28,oq vc acha do chatgpt?
unanswered_question,29,e sobre o gemini ent?
unanswered_question,30,e o chatgpt?
unanswered_question,31,e o gemini?
unanswered_question,32,quais os patrocinadores do festival?
unanswered_question,33,"Bonjour 
Vous m’avez filmée en train de danser le hakken comment pourrai je avoir les vidéos ??"
unanswered_question,34,Ab wann kann ich kaufen?
unanswered_question,35,Are you a ai chatbot?
unanswered_question,36,Waar kan ik de foto's vinden
unanswered_question,37,Waar te vinden
unanswered_question,38,Chi farà parte della scaletta? 🎤
unanswered_question,39,Hast du denn welche ?
unanswered_question,40,An wen kann ich mich denn wenden?
unanswered_question,41,"You’re successfully registered 🎉
This Tuesday around 19:00, we’ll send you a link to the ticket shop.

Tuesday it’s tomorrow ?"
unanswered_question,42,¿Quiénes están en el cartel? 🎤
unanswered_question,43,How to become part of the lineup
unanswered_question,44,"I haven't received the link by email yet, is that normal?."
unanswered_question,45,Hoe kom ik bij het festival? 🚌
unanswered_question,46,Mag ik de link ?
unanswered_question,47,Dedicated sale ?
unanswered_question,48,Waar blijft m’n link?
unanswered_question,49,It's Go on ?
unanswered_question,50,Wanneer krijg je de mail
unanswered_question,51,Klopt het dat ik nog geen mail heb ontvangen?
unanswered_question,52,Goedenavond klopt het dat dit allen regulier is en geen vip?
unanswered_question,53,Kan je me vertellen waar die staat dan want er stond net geen vip tussen .op alle 3 de telefoons niet
unanswered_question,54,Hoe kom ik gratis binnen?
unanswered_question,55,Kan dus niet
unanswered_question,56,Waneer komt de link ?
unanswered_question,57,In deze app ?
unanswered_question,58,Is er een levensstijd aan Dit festival
unanswered_question,59,Kann ich die seite auch auf deusch haben?
unanswered_question,60,Krijg ik zo een link?
unanswered_question,61,KAn ik ook kolven
unanswered_question,62,Is dit de persoonlijke link?
unanswered_question,63,Wer ist dabei? 🎤
unanswered_question,64,Kunnen jullie me iets vertellen over de dedicated sale die er nu aankomt?
unanswered_question,65,Wat een ellende van 3 naar 15 naar 1 uur naar 5 min naar 30 min? Wat is dit voor wachtrij mensen?
unanswered_question,66,Hoe is het mannen
unanswered_question,67,Heeft u de link
unanswered_question,68,Can you tell me a fun story
unanswered_question,69,Can he app yoy
unanswered_question,70,Where is hte link you should sent?
unanswered_question,71,Are you computer
unanswered_question,72,Vip tickets ?
unanswered_question,73,Kan ik mijn ticket later upgrade?
unanswered_question,74,On WhatsApp?
unanswered_question,75,Wie staan er op de line-up? 🎤
unanswered_question,76,Ich habe keine Email erhalten. Was soll ich machen?
unanswered_question,77,No just this number no email ?
unanswered_question,78,How long is the link working
unanswered_question,79,Datum volgende jaar?
unanswered_question,80,Waar zijn gevonden voorwerpen
unanswered_question,81,Wie geht es dem mann der im azura deck reanimiert wurde?
unanswered_question,82,Wat mag ik meenemen? 🎒
unanswered_question,83,waar kan ik de fotos vinden
unanswered_question,84,Krijg page not found als ik dat doe via de link op de site
unanswered_question,85,For both emails ?
unanswered_question,86,Ben jij AI of een echt persoon?
unanswered_question,87,Is het op 15 mei?
unanswered_question,88,Is het op 15 mei?
unanswered_question,89,What is the address
unanswered_question,90,Ook voor 7th sunday?
unanswered_question,91,Hoe word je ambasadeur van jullie ik ben ook ambasadeur alleen mijn vriendin wil da ook graag worden is dat mogelijk?
unanswered_question,92,Bonjour quand va t’il avoir du réassort sur les marchandises?
unanswered_question,93,Kan dit in Nederlands?
unanswered_question,94,"Hi, ik ben een telefoon kwijt geraakt op hoh, staan er ook ergens foto’s van de gevonden voorwerpen?"
unanswered_question,95,Where was it
unanswered_question,96,"Hey you 🍀☀️ had an awesome saturday. I made a selfi with a guy and i forgot to ask for his insta. When u post this pic in your story. Perhaps he see it 😇😊 could u do it?

My insta is jennifer.brucher"
unanswered_question,97,The insta Page from hoh?
unanswered_question,98,Waar is dit
unanswered_question,99,ca dure combien de temps ?
unanswered_question,100,Is the e-mail
answered_question,rank_1_frequency,110
answered_question,rank_1_text,Hoe kom ik bij het festival? 🚌
answered_question,rank_2_frequency,93
answered_question,rank_2_text,Wat mag ik meenemen
answered_question,rank_3_frequency,78
answered_question,rank_3_text,Waar kan ik tickets kopen? 🎟️
answered_question,rank_4_frequency,56
answered_question,rank_4_text,Wat zijn de festivalregels? 📋
answered_question,rank_5_frequency,35
answered_question,rank_5_text,Comment me rendre au festival ? 🚌
answered_question,rank_6_frequency,26
answered_question,rank_6_text,Wie komme ich zum Festival? 🚌
answered_question,rank_7_frequency,19
answered_question,rank_7_text,Où puis-je acheter des billets ? 🎟️
answered_question,rank_8_frequency,18
answered_question,rank_8_text,Mag ik zonnebrand meenemen
answered_question,rank_9_frequency,18
answered_question,rank_9_text,Welche Festivalregeln gelten? 📋
answered_question,rank_10_frequency,17
answered_question,rank_10_text,Que puis-je apporter ? 🎒
answered_question,rank_11_frequency,16
answered_question,rank_11_text,Wo kann ich Tickets kaufen? 🎟️
answered_question,rank_12_frequency,12
answered_question,rank_12_text,Wie staan er op de line-up? 🎤
answered_question,rank_13_frequency,11
answered_question,rank_13_text,Was kann ich mitbringen? 🎒
answered_question,rank_14_frequency,10
answered_question,rank_14_text,Was darf ich mitbringen? 🎒
answered_question,rank_15_frequency,9
answered_question,rank_15_text,🎟️ Kan ik al tickets kopen?
answered_question,rank_16_frequency,8
answered_question,rank_16_text,How do I get to the festival? 🚌
answered_question,rank_17_frequency,8
answered_question,rank_17_text,Mag je zonnebrand meenemen
answered_question,rank_18_frequency,8
answered_question,rank_18_text,What are the festival rules? 📋
